# curie_map: # This contains the URLs prefixes used in the mapping file
#   skos: http://www.w3.org/2004/02/skos/core# ### Always needed. Do not modify
#   sssom: https://w3id.org/sssom/             ### Always needed. Do not modify
#   subject:  https://pypi.org/ns/core-metadata# ### Value of the schema. Need to be changed.
#   codemeta: "https://w3id.org/codemeta/3.0/" ### Always needed. Do not modify
#   schema: "http://schema.org/" ### Always needed. Do not modify
# license: https://creativecommons.org/publicdomain/zero/1.0/
# subject_documentation: https://packaging.python.org/en/latest/specifications/core-metadata/
# mapping_date: '2025-09-10' ### Default value
# mapping_set_description: 'Mapping between codemeta and core metadata specification of the PyPa Package Distribution Metadata (https://packaging.python.org/en/latest/specifications/core-metadata/). We have followed the structure of the JSON provided by the API(e.g. https://pypi.org/pypi/somef/json)' ### Please	 add the description of your mapping
# mapping_provider: https://codemeta.github.io/ ### Please	 add a URI of the author of the mapping. Prioritize ORCIDs for persons and ROR ids for organizations
# mapping_set_id: https://w3id.org/codemeta/crosswalks/PyPa ### Please	 add a URI of your crosswalk. You can use the w3id.org service to create it.
subject_id	subject_label	predicate_id	object_id	object_label	match_type	match_type_term	confidence	comment
subject:requires_python	requires_python	skos:closeMatch	schema:softwareRequirements	softwareRequirements	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	Example: <=3.13,>=3.9. 
subject:project_urls	project_urls	skos:exactMatch	schema:codeRepository	codeRepository	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	"Use project_urls[""homepage""]. "
subject:homepage	homepage	skos:exactMatch	schema:codeRepository	codeRepository	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	
subject:bugtruck_url	bugtruck_url	skos:exactMatch	codemeta:issueTracker	issueTracker	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	
subject:download_url	download_url	skos:exactMatch	codemeta:downloadURL	downloadURL	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	
subject:docs_url	docs_url	skos:closeMatch	codemeta:buildInstructions	buildInstructions	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	
subject:docs_url	docs_url	skos:closeMatch	codemeta:readme	readme	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	
subject:homepage	homepage	skos:closeMatch	schema:identifier	identifier	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	
subject:docs_url	docs_url	skos:closeMatch	schema:releaseNotes	releaseNotes	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	
subject:description_content_type	description_content_type	skos:exactMatch	codemeta:encodingFormat	encodingFormat	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	The codemeta term has a path encoding/encodingFormat.
subject:description_content_type	description_content_type	skos:exactMatch	schema:fileFormat	fileFormat	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	
subject:classifiers	classifiers	skos:exactMatch	schema:operatingSystem	operatingSystem	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	"Use classifiers[""OperatingSystem""]. "
subject:platform	platform	skos:exactMatch	schema:operatingSystem	operatingSystem	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	
subject:classifiers	classifiers	skos:exactMatch	schema:programmingLanguage	programmingLanguage	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	"Use classifiers[""Programming Language""]. "
subject:funding	funding	skos:exactMatch	codemeta:project_urls	project_urls	SSSOM:HumanCurated	SSSOM:ObjectPropertyMatch	1	"Use project_urls[""funding""]. "
